p,d,q,P,Q,m,AIC,BIC
2,1,2,1,2,3,6817.659118921238,6860.545038145704
2,1,2,1,2,21,6817.659118921238,6860.545038145704
2,1,2,2,1,3,6955.250118223004,7003.496777350529
2,1,2,2,1,21,6955.250118223004,7003.496777350529
2,1,2,2,2,3,6955.250118223004,7003.496777350529
2,1,2,2,2,21,6955.250118223004,7003.496777350529
2,1,2,3,1,3,6665.821708732957,6719.42910776354
2,1,2,3,1,21,6665.821708732957,6719.42910776354
2,1,2,3,2,3,6665.821708732957,6719.42910776354
2,1,2,3,2,21,6665.821708732957,6719.42910776354
3,0,1,1,1,3,9376.88728172586,9403.687801590806
3,0,1,1,1,21,9376.88728172586,9403.687801590806
3,0,1,1,2,3,9376.88728172586,9403.687801590806
3,0,1,1,2,21,9376.88728172586,9403.687801590806
3,0,1,2,1,3,8087.391080619747,8119.551704457682
3,0,1,2,1,21,8087.391080619747,8119.551704457682
3,0,1,2,2,3,8087.391080619747,8119.551704457682
3,0,1,2,2,21,8087.391080619747,8119.551704457682
3,0,1,3,1,3,8068.952495612346,8106.47322342327
3,0,1,3,1,21,8068.952495612346,8106.47322342327
3,0,1,3,2,3,8068.952495612346,8106.47322342327
3,0,1,3,2,21,8068.952495612346,8106.47322342327
3,0,2,1,1,3,8087.391079805955,8119.55170364389
3,0,2,1,1,21,8087.391079805955,8119.55170364389
3,0,2,1,2,3,8087.391079805955,8119.55170364389
3,0,2,1,2,21,8087.391079805955,8119.55170364389
3,0,2,2,1,3,8055.522405439311,8093.043133250235
3,0,2,2,1,21,8055.522405439311,8093.043133250235
3,0,2,2,2,3,8055.522405439311,8093.043133250235
3,0,2,2,2,21,8055.522405439311,8093.043133250235
3,0,2,3,1,3,7547.557755085585,7590.438586869498
3,0,2,3,1,21,7547.557755085585,7590.438586869498
3,0,2,3,2,3,7547.557755085585,7590.438586869498
3,0,2,3,2,21,7547.557755085585,7590.438586869498
3,1,1,1,1,3,7108.844006043408,7146.3647338543315
3,1,1,1,1,21,7108.844006043408,7146.3647338543315
3,1,1,1,2,3,7108.844006043408,7146.3647338543315
3,1,1,1,2,21,7108.844006043408,7146.3647338543315
3,1,1,2,1,3,6829.708598634087,6872.589430418
3,1,1,2,1,21,6829.708598634087,6872.589430418
3,1,1,2,2,3,6829.708598634087,6872.589430418
3,1,1,2,2,21,6829.708598634087,6872.589430418
3,1,1,3,1,3,6811.969019971415,6860.209955728317
3,1,1,3,1,21,6811.969019971415,6860.209955728317
3,1,1,3,2,3,6811.969019971415,6860.209955728317
3,1,1,3,2,21,6811.969019971415,6860.209955728317
3,1,2,1,1,3,6829.708587424182,6872.589419208095
3,1,2,1,1,21,6829.708587424182,6872.589419208095
3,1,2,1,2,3,6829.708587424182,6872.589419208095
3,1,2,1,2,21,6829.708587424182,6872.589419208095
3,1,2,2,1,3,6872.428825502537,6920.669761259439
3,1,2,2,1,21,6872.428825502537,6920.669761259439
3,1,2,2,2,3,6872.428825502537,6920.669761259439
3,1,2,2,2,21,6872.428825502537,6920.669761259439
3,1,2,3,1,3,6662.901774985672,6716.5028147155635
3,1,2,3,1,21,6662.901774985672,6716.5028147155635
