num_units,batch_size,learning_rate,decrease_after,loss
16,1,0.001,20,0.2097872046463824
16,1,0.001,30,0.2167507920958945
16,1,0.005,10,0.2046448317601319
16,1,0.005,20,0.1809735385229531
16,1,0.005,30,0.19249885992724103
16,1,0.01,10,0.17688406093643522
16,1,0.01,20,0.19435883480352614
16,1,0.01,30,0.17140193803692763
16,2,0.001,10,0.22099528672560206
16,2,0.001,20,0.21960775497949347
16,2,0.001,30,0.21885404749861304
16,2,0.005,10,0.2010605011908513
16,2,0.005,20,0.2095210909281137
16,2,0.005,30,0.20118011224944637
16,2,0.01,10,0.21272045064647244
16,2,0.01,20,0.19335898075182484
16,2,0.01,30,0.1989822147660098
16,4,0.001,10,0.23348648143264483
16,4,0.001,20,0.2354957416372479
16,4,0.001,30,0.2235449507551373
16,4,0.005,10,0.20320868541328413
16,4,0.005,20,0.2068811593190679
16,4,0.005,30,0.223357932185227
16,4,0.01,10,0.218232624373346
16,4,0.01,20,0.21906873527562842
16,4,0.01,30,0.18761778102730806
16,8,0.001,10,0.21443493411226092
16,8,0.001,20,0.23046337433581082
16,8,0.001,30,0.23910774824754247
16,8,0.005,10,0.2291836716094107
16,8,0.005,20,0.2097572628057228
16,8,0.005,30,0.24312723132799258
16,8,0.01,10,0.23309249023221573
16,8,0.01,20,0.19764384683573022
16,8,0.01,30,0.20499665107367174
16,16,0.001,10,0.2551906333779389
16,16,0.001,20,0.2598071503189375
16,16,0.001,30,0.2787536675075315
16,16,0.005,10,0.27719380270760013
16,16,0.005,20,0.25974355553680994
16,16,0.005,30,0.2373602120381481
16,16,0.01,10,0.2588131202841705
16,16,0.01,20,0.23783690974397478
16,16,0.01,30,0.26091675038607615
16,32,0.001,10,0.27016639709472656
16,32,0.001,20,0.2558155689599379
16,32,0.001,30,0.2737723836358988
16,32,0.005,10,0.2863889640232302
16,32,0.005,20,0.2566966470682396
16,32,0.005,30,0.25669140185949935
16,32,0.01,10,0.25510661107189253
16,32,0.01,20,0.26102534779962505
16,32,0.01,30,0.2729005363752257
32,1,0.001,10,0.21688465125647918
32,1,0.001,20,0.20179259852629225
32,1,0.001,30,0.21231828934846902
32,1,0.005,10,0.19098029022966073
32,1,0.005,20,0.20040867004965274
